# Segments csv adapted from original eval_segments provided by audioset
# num_ytids=Dunno, num_segs=Dunno, num_unique_labels=Dunno, num_positive_labels=Dunno
# YTID, start_seconds, end_seconds, positive_labels
T_V-F_FqZMs, 0.000, 10.000, "/m/034srq,/m/05kq4"
3GnjHs5_1GM, 6.000, 16.000, "/m/06mb1,/t/dd00038"
3d6pAicJYHE, 30.000, 40.000, "/m/032s66,/m/04zjc"
n1CxZzKrlY8, 30.000, 40.000, "/m/0jb2l,/m/0ngt1"
7f-Mfk_A2qk, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
1MzQNQLRvLo, 40.000, 50.000, "/m/019jd,/m/034srq,/m/056ks2,/m/05kq4"
5klckcM9vxE, 290.000, 300.000, "/m/019jd,/m/03m9d0z,/t/dd00092"
4jUJJhD3Yow, 30.000, 40.000, "/m/06mb1,/t/dd00038"
Ci8obJSBh2c, 30.000, 40.000, "/m/014zdl,/m/07pxg6y"
UuMr7xAQaE8, 260.000, 270.000, "/m/06mb1,/m/07yv9,/m/09x0r"
FhV0q8KvnwA, 550.000, 560.000, "/m/032s66,/m/04zjc"
RttJsfTaWtI, 30.000, 40.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
PgVn9K9K3As, 20.000, 30.000, "/m/012f08,/m/06mb1,/m/07yv9,/m/09x0r,/m/0k4j"
80Ce1i0ODGU, 30.000, 40.000, "/m/06mb1,/m/07r10fb,/t/dd00038"
gYXB5IFzbqs, 280.000, 290.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
7g1x_dvv4nw, 320.000, 330.000, "/m/019jd,/m/05kq4,/t/dd00129"
2GpAUD-qGO8, 30.000, 40.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
Ee5cf51TYnA, 20.000, 30.000, "/m/019jd,/m/03m9d0z,/m/05kq4,/m/07yv9,/m/09x0r"
AMeouKcgeac, 30.000, 40.000, "/m/06mb1,/t/dd00038"
CweyvQb2UCw, 5.000, 15.000, "/m/014zdl,/m/09x0r"
SZEg2eqUvqk, 0.000, 10.000, "/m/06mb1,/m/0jb2l,/m/0ngt1"
PKEhOxE-Ovs, 130.000, 140.000, "/m/032s66,/m/04zjc"
CM7t-cHBuiI, 30.000, 40.000, "/m/02_41"
7LLIoFlYPYs, 240.000, 250.000, "/m/019jd,/m/034srq,/m/03m9d0z,/m/05kq4,/m/0hsrw,/t/dd00092"
RSsewzGIpDY, 90.000, 100.000, "/m/034srq,/m/05kq4"
FJiTqAiP6HM, 30.000, 40.000, "/m/06mb1,/m/0838f"
Q7ToaY7XeuQ, 16.000, 26.000, "/m/014zdl,/m/04rlf"
HRDhMbr7aOw, 30.000, 40.000, "/m/04rlf,/m/0ngt1"
6luqPzYYro4, 190.000, 200.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
-YaJMgeKDxc, 70.000, 80.000, "/m/03m9d0z,/m/09t49"
3LgvrNCXOFI, 30.000, 40.000, "/m/06mb1,/t/dd00038"
3WwPU4zyorM, 30.000, 40.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
8z4c4nNOmtI, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
bWLuLnVSl1c, 18.000, 28.000, "/m/014zdl,/m/04rlf,/m/07qsvvw"
9zzhdGNQ88A, 30.000, 40.000, "/m/019jd,/m/03m9d0z,/m/0hsrw,/t/dd00092"
NAgUSBl7KGc, 30.000, 40.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
0_RiXhTYRp4, 30.000, 40.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
QOiNRYTfRfo, 30.000, 40.000, "/m/014zdl,/m/04rlf"
Hnj1-Agl7PA, 17.000, 27.000, "/m/014zdl"
L_cY1bmFge4, 1.000, 11.000, "/m/014zdl,/m/07pxg6y,/m/09x0r"
H_GlH62yOPs, 30.000, 40.000, "/m/06mb1,/t/dd00038"
5dVPx2pVyXA, 10.000, 20.000, "/m/014zdl,/m/07qsvvw,/m/09x0r"
4zRi2JvPN08, 30.000, 40.000, "/m/019jd,/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
4iAmx7Vqdhg, 110.000, 120.000, "/m/019jd,/m/03m9d0z,/m/0hsrw,/t/dd00092"
Y6VPx0xQI_Q, 0.000, 10.000, "/m/06mb1"
3WSNS274PkM, 120.000, 130.000, "/m/019jd,/m/02rlv9,/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
34VTMNX1eaM, 50.000, 60.000, "/m/05kq4,/m/09x0r"
UkLt5KMuLzs, 480.000, 490.000, "/m/034srq,/m/05kq4,/m/09x0r"
GknJmf_D6Ak, 1.000, 11.000, "/m/032s66"
SQcrBDHA4Zo, 12.000, 22.000, "/m/014zdl,/m/07qsvvw,/m/09x0r"
ES6uOsjPUoA, 130.000, 140.000, "/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1"
t5Yry4b7xfA, 270.000, 280.000, "/m/02_41,/m/09x0r"
hJJHQgQKLRg, 30.000, 40.000, "/m/014zdl,/m/04rlf,/m/07qsvvw"
_d0ps_J2qXM, 0.000, 10.000, "/m/014zdl,/m/09x0r"
LVkPkdtR8NQ, 30.000, 40.000, "/m/06mb1,/t/dd00038"
7iYmoby0wEE, 470.000, 480.000, "/m/032s66,/m/04rlf,/m/09x0r"
e9RDKCzUQGo, 26.000, 36.000, "/m/014zdl,/m/04rlf,/m/07qsvvw,/m/09x0r"
nAiFReBoQBg, 510.000, 520.000, "/m/06mb1,/m/0jb2l,/m/0ngt1"
Ysue8474_rw, 30.000, 40.000, "/m/034srq,/m/05kq4"
W1e28MJB5gI, 30.000, 40.000, "/m/014zdl,/m/09x0r"
--zDqIhJ-EM, 10.000, 20.000, "/m/032s66"
0AXl8mKEd90, 30.000, 40.000, "/m/034srq,/m/05kq4"
F2xcdK7K39Q, 15.000, 25.000, "/m/014zdl"
Exs5sJyiOYc, 0.000, 10.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
3_xxYfF_2Zc, 490.000, 500.000, "/m/05kq4,/m/0m0jc"
BHna1JkHqyg, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
T5E-STO4n60, 30.000, 40.000, "/m/06mb1,/t/dd00038"
VlOkV5yG7xY, 30.000, 40.000, "/m/014zdl"
Urph3clFDeI, 120.000, 130.000, "/m/06mb1"
vpPjYJ_wZpk, 60.000, 70.000, "/m/02_41,/m/09x0r"
S44cjmwdLLs, 140.000, 150.000, "/m/032s66"
8wMDHImTfcA, 0.000, 6.000, "/m/014zdl"
JUi9MvDwTYg, 280.000, 290.000, "/m/032s66"
CVehnsauIUs, 50.000, 60.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/m/05kq4,/t/dd00092"
81mpvsDGHSg, 340.000, 350.000, "/m/032s66,/m/04zjc"
1t-1oikABKY, 70.000, 80.000, "/m/032s66,/m/04zjc"
DGp0ZWlNZVM, 340.000, 350.000, "/m/04rlf,/m/05kq4"
J5mx85XlKEU, 30.000, 40.000, "/m/014zdl,/m/09x0r"
T6TG5V16lCU, 10.000, 20.000, "/m/032s66"
-9XmXoOdb68, 30.000, 40.000, "/m/032s66,/m/04zjc"
oR31BUGX97E, 440.000, 450.000, "/m/02_41"
AFVzauLzK_Q, 300.000, 310.000, "/m/0ngt1"
hkHpllrSu0s, 50.000, 60.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
AEbHz6CsQRw, 110.000, 120.000, "/m/06mb1"
FtanamDUdNA, 0.000, 3.000, "/m/014zdl"
QvUSQXsIUa0, 160.000, 170.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
3GMfQl667Qk, 100.000, 110.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
FDfBtNQIRRk, 270.000, 280.000, "/m/032s66"
62rgZ31qyaU, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
Rq2mAPs2vM8, 130.000, 140.000, "/m/032s66,/m/04zjc"
A0OkS-1XSaI, 30.000, 40.000, "/m/019jd,/m/03m9d0z,/t/dd00092"
4EUA-0E2rLk, 10.000, 20.000, "/m/05kq4"
3rl9FSKKplY, 20.000, 30.000, "/m/014zdl,/m/04rlf,/m/09x0r"
N2b67KbfcMQ, 400.000, 410.000, "/m/05kq4,/m/07hvw1,/t/dd00129"
1gDcPnV9CDM, 140.000, 150.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
haPVosBHYG4, 0.000, 10.000, "/m/014zdl,/m/09x0r"
fdyZa9k7YeY, 0.000, 10.000, "/m/014zdl"
8L-uL3aIZnQ, 0.000, 9.000, "/m/014zdl,/m/07qsvvw,/m/09x0r"
HoTd9nQeRrw, 0.000, 9.000, "/m/014zdl,/m/07qsvvw"
1YaKUu5EVl8, 60.000, 70.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
NQNimkNFwgU, 410.000, 420.000, "/m/02_41,/m/09x0r"
UEUSh7LpD88, 10.000, 20.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
DVWz7sbWT0Y, 30.000, 40.000, "/m/032s66"
thUn1omKqSQ, 140.000, 150.000, "/m/02_41,/m/03m9d0z,/t/dd00092"
A8-9Uvzdj_8, 40.000, 50.000, "/m/02_41"
LyddQHov9n4, 320.000, 330.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
FuQz_TpKhd4, 10.000, 20.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
CI6XMWn38f8, 460.000, 470.000, "/m/032s66,/m/04zjc"
OhJXewJV0Vc, 30.000, 40.000, "/m/032s66"
VH_QGTSy0Lw, 0.000, 6.000, "/m/014zdl,/m/07qsvvw"
9tH_ZjUW_yo, 30.000, 40.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
EviaoIB5xmI, 30.000, 40.000, "/m/05kq4,/t/dd00129"
QiwtCBG-nMs, 170.000, 180.000, "/m/032s66,/m/04zjc"
iuwWcTY2HTE, 280.000, 290.000, "/m/06mb1,/m/0jb2l,/m/0ngt1"
J784NWBZXmc, 30.000, 40.000, "/m/06mb1,/t/dd00038"
AcAu_fpokJ4, 30.000, 40.000, "/m/032s66,/m/04zjc"
7wDu0GruJDI, 22.000, 32.000, "/m/034srq,/m/05kq4"
AgL91l_DkRs, 20.000, 30.000, "/m/019jd,/m/034srq,/m/03m9d0z,/m/05kq4,/m/0hsrw,/t/dd00092"
qvOMw9EOUZs, 100.000, 110.000, "/m/014zdl,/m/02_41,/m/09x0r"
CK1YnqP1Y1I, 30.000, 40.000, "/m/0ngt1"
3BF6Ye7ON04, 0.000, 10.000, "/m/03m9d0z,/m/05kq4,/t/dd00129"
Esgyjs9CzmQ, 140.000, 150.000, "/m/0jb2l,/m/0ngt1"
iqvnkbjWWlw, 270.000, 280.000, "/m/0ngt1"
OF7A3vsntYk, 10.000, 20.000, "/m/02_41"
0ek-9ci-3a0, 80.000, 90.000, "/m/014zdl,/m/07qsvvw"
LieuiZCvaSU, 0.000, 10.000, "/m/014zdl,/m/02_41"
HrrsDIdllA0, 0.000, 9.000, "/m/014zdl,/m/07qsvvw"
V8-BKGyHAf0, 0.000, 3.000, "/m/014zdl"
6Iw1y0wDsGQ, 0.000, 10.000, "/m/02z32qm,/m/032s66"
W5tER3SFeUE, 210.000, 220.000, "/m/02_41,/m/03m9d0z,/t/dd00092"
1I2ADEBvEIE, 450.000, 460.000, "/m/019jd,/m/03m9d0z,/m/056ks2,/t/dd00092"
5tWbCLV4TCw, 14.000, 24.000, "/m/03m9d0z,/t/dd00092"
8zxi95XGGGg, 30.000, 40.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
NUEXHuf-oLI, 250.000, 260.000, "/m/05kq4,/m/0cj0r,/t/dd00129"
8gKx2AWu7Nk, 520.000, 530.000, "/m/06mb1,/m/0ngt1,/t/dd00038"
9_M-14XlW0Q, 30.000, 40.000, "/m/06mb1,/m/07r10fb,/t/dd00038"
WXQ-Em-c_sQ, 10.000, 20.000, "/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038"
y349MdET_js, 410.000, 420.000, "/m/02_41"
RY_R3ni1kVo, 30.000, 40.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
74SitK1P0JY, 0.000, 10.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
0h1tntcFewI, 18.000, 28.000, "/m/034srq,/m/03m9d0z,/t/dd00092"
R3jKreMNI1M, 30.000, 40.000, "/m/012f08,/m/02_41,/m/07yv9,/m/09x0r"
RSIOKXqV5Zs, 9.000, 19.000, "/m/014zdl"
-AfTD-pqvKU, 300.000, 310.000, "/m/032s66"
L2K7H_eDD2U, 80.000, 90.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
fSPB_m0cSHs, 0.000, 6.000, "/m/014zdl,/m/04rlf,/m/07qsvvw"
G2KruS9nW70, 30.000, 40.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
07WMiY7QawQ, 170.000, 180.000, "/m/03m9d0z,/t/dd00092"
CgAGlxEHCes, 50.000, 60.000, "/m/014zdl,/m/04rlf"
0-lOXweji14, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
LZ4pWQXIfPU, 30.000, 40.000, "/m/014zdl"
0WDtDIaIU_g, 260.000, 270.000, "/m/032s66"
-ks2n6wyKn0, 100.000, 110.000, "/m/032s66"
_7d-6qHbdmo, 120.000, 130.000, "/m/034srq,/m/05kq4"
6An955UdtXw, 30.000, 40.000, "/m/06mb1,/m/09x0r"
AGjXFGau-Pw, 30.000, 40.000, "/m/03m9d0z"
ZcQn6edU73I, 30.000, 40.000, "/m/02_41"
XXRuKKCAxI8, 0.000, 10.000, "/m/014zdl,/m/02_41"
J68vIUUWSx4, 30.000, 40.000, "/m/06mb1,/t/dd00038"
DuGDyB62z2c, 30.000, 40.000, "/m/02_41"
TZ3cWTikPUU, 10.000, 20.000, "/m/05kq4"
FsgUOM68xKQ, 30.000, 40.000, "/m/014zdl,/m/09x0r"
2O3moXVfc5k, 160.000, 170.000, "/m/03m9d0z"
TgpA-aZkk_4, 310.000, 320.000, "/m/06mb1,/m/07r10fb"
OUYS95W_NTg, 30.000, 40.000, "/m/014zdl,/m/04rlf,/m/07qsvvw"
GUEfFhcBNPk, 10.000, 20.000, "/m/015p6,/m/020bb7,/m/032s66"
MpWnJvEQJLg, 30.000, 40.000, "/m/06mb1,/m/07r10fb,/t/dd00038"
Z45yEq3pZKM, 30.000, 40.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
7olxm-gNYoo, 480.000, 490.000, "/m/02_41,/m/03m9d0z,/t/dd00092"
8kNH56gJpHc, 30.000, 40.000, "/m/032s66"
Jo8il_Kg_j8, 50.000, 60.000, "/m/0ngt1"
0UZNBHkgHSo, 30.000, 40.000, "/m/014zdl,/m/09x0r"
TDpNiRuXDVs, 26.000, 36.000, "/m/032s66"
6gh1M9nK1uI, 0.000, 10.000, "/m/032s66"
RRGrXBMxMmw, 130.000, 140.000, "/m/034srq,/m/03m9d0z,/m/05kq4"
1n6ddIccNzE, 0.000, 10.000, "/m/03m9d0z"
BLJD24EDqWM, 110.000, 120.000, "/m/03m9d0z,/t/dd00092"
3kFsv0tPLcA, 200.000, 210.000, "/m/034srq,/m/05kq4"
2GvM-Qro1Ys, 0.000, 10.000, "/m/032s66"
ZgEnv9clqEk, 5.000, 15.000, "/m/014zdl,/m/07qsvvw,/m/09x0r"
5Gg2utGxdwE, 150.000, 160.000, "/m/03m9d0z,/t/dd00092"
8yNgyA4DU2M, 330.000, 340.000, "/m/019jd,/m/03m9d0z,/m/06q74,/t/dd00092"
6oHxYoqDBR4, 1.000, 11.000, "/m/014zdl,/m/04rlf,/m/07qsvvw"
-8jAIbKVhRk, 260.000, 270.000, "/m/04rlf,/m/05kq4,/m/09x0r"
9xoYx3lTJ9I, 5.000, 15.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
3QS5DWpP8xo, 28.000, 38.000, "/m/03m9d0z,/t/dd00092"
fdfrzMLxCio, 0.000, 9.000, "/m/014zdl,/m/07qsvvw"
Y8TIP6vZvdQ, 40.000, 50.000, "/m/06mb1,/m/09x0r"
RNjnnB9Xabg, 190.000, 200.000, "/m/02_41"
YA24EUrzljE, 50.000, 60.000, "/m/05kq4"
AGBjKJKpGNU, 0.000, 8.000, "/m/032s66,/m/0c1dj"
CJ_fiUcgZFI, 150.000, 160.000, "/m/06mb1,/m/09x0r"
755NKfTTkKo, 30.000, 40.000, "/m/06mb1,/m/0ngt1"
Gyporgic70I, 440.000, 450.000, "/m/032s66,/m/04zjc"
EVmIkinT-RE, 330.000, 340.000, "/m/034srq,/m/05kq4"
387smksUmR0, 70.000, 80.000, "/m/06mb1,/t/dd00038"
7hVtnSprlno, 10.000, 20.000, "/m/06mb1,/m/07r10fb"
3rl4TrI1348, 2.000, 12.000, "/m/034srq,/m/05kq4"
H_TzKLgb6jw, 30.000, 40.000, "/m/032s66"
SWCmWY2_Y2U, 30.000, 40.000, "/m/019jd,/m/02rlv9,/m/034srq,/m/05kq4"
gZ5Vm_IhCps, 21.000, 31.000, "/m/014zdl,/m/09x0r"
6LOx0-AnVz8, 40.000, 50.000, "/m/014zdl,/m/09x0r,/m/0g6b5"
mgs7IohbBmA, 150.000, 160.000, "/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1"
Z3BP9HQn_Xc, 30.000, 40.000, "/m/04rlf,/m/06mb1"
0osIjY4kzhM, 40.000, 50.000, "/m/032s66,/m/073cg4"
XFXFn8tIpmg, 230.000, 240.000, "/m/06mb1,/m/09x0r"
Fjb8sr68rTQ, 30.000, 40.000, "/m/06mb1"
3_oozRQ7ZI0, 9.000, 19.000, "/m/014zdl,/m/09x0r"
90iFStSMnH4, 30.000, 40.000, "/m/06mb1,/t/dd00038"
DMlovpDgicY, 30.000, 40.000, "/m/019jd,/m/03m9d0z,/m/0hsrw,/t/dd00092"
2aPteu35E8s, 35.000, 45.000, "/m/02_41"
26lMTlwyOAM, 30.000, 40.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
2UUhcFjDcKk, 580.000, 590.000, "/m/06mb1,/m/09x0r"
9DoAfskK8a4, 130.000, 140.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
8aZ9P1FW3ms, 0.000, 10.000, "/m/02_41"
7xOiqrNbArU, 500.000, 510.000, "/m/032s66"
3igmCMqi7R8, 30.000, 40.000, "/m/06mb1,/m/0jb2l,/m/0ngt1"
8ZzmerSSYjA, 150.000, 160.000, "/m/06mb1,/m/07yv9"
mKYauPXLnos, 340.000, 350.000, "/m/06mb1,/m/0ngt1,/t/dd00038"
FVn3EmxKIhw, 1.000, 11.000, "/m/014zdl,/m/07qsvvw,/m/09x0r"
9GdsWlXpMWU, 12.000, 22.000, "/m/014zdl,/m/04rlf,/m/09x0r"
HXXjDbmTBgk, 60.000, 70.000, "/m/02v2lh,/m/04rlf,/m/05kq4"
gGkG7d56Yc8, 30.000, 40.000, "/m/014zdl,/m/07pxg6y,/m/09x0r"
UkPpEhnr8mg, 30.000, 40.000, "/m/014zdl,/m/07qsvvw,/m/09x0r"
Akk-GzgnDmE, 30.000, 40.000, "/m/02_41,/m/03m9d0z,/t/dd00092"
TwLHvm1hv8M, 420.000, 430.000, "/m/06mb1"
YVEHqjtPIno, 30.000, 40.000, "/m/02_41,/m/03m9d0z"
5b7kyXWrrfU, 90.000, 100.000, "/m/03m9d0z,/t/dd00092"
KunhpKbZH_8, 520.000, 530.000, "/m/02z32qm,/m/032s66,/m/04rlf,/m/09x0r"
UYOip70aJuc, 440.000, 450.000, "/m/05kq4"
_ZB1qf1xfto, 110.000, 120.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
VjgplWYGD3w, 0.000, 10.000, "/m/06mb1"
6CPCndF5p9g, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
RSKO2y2lPhQ, 10.000, 20.000, "/m/02_41,/m/09x0r"
VupwaUMziZE, 460.000, 470.000, "/m/06mb1,/m/0ngt1"
47yAJLPBbho, 0.000, 6.000, "/m/014zdl,/m/04rlf"
4pYhTgVPIGc, 30.000, 40.000, "/m/06mb1,/m/07r10fb,/t/dd00038"
QTKTQvvUPsY, 305.000, 315.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
ZcSQGgrM9Jc, 220.000, 230.000, "/m/0ngt1"
93GEJcSChdo, 420.000, 430.000, "/m/02_41,/m/03m9d0z,/t/dd00092"
Yhk6BsshKUM, 30.000, 40.000, "/m/06mb1,/t/dd00038"
9xEsReDCwSM, 12.000, 22.000, "/m/032s66,/m/0_1c"
bKQDkkMA7UE, 100.000, 110.000, "/m/02_41,/m/09x0r"
1Er3ELxvc4c, 100.000, 110.000, "/m/03m9d0z,/t/dd00092"
dTYMpo3hslE, 30.000, 40.000, "/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038"
AI68aR4J4G4, 25.000, 35.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
31C6xlxr2-I, 0.000, 4.000, "/m/014zdl"
A2HicvJJZ6A, 330.000, 340.000, "/m/019jd,/m/034srq,/m/03m9d0z,/m/05kq4,/m/0hsrw,/t/dd00092"
JaCtFWDIqB8, 0.000, 10.000, "/m/014zdl,/m/09x0r"
KR4VfHCFK4c, 30.000, 40.000, "/m/014zdl"
W86JsxMNgDg, 0.000, 10.000, "/m/04rlf,/m/05kq4"
UmtUsEzlDjI, 30.000, 40.000, "/m/032s66,/m/0_1c"
2wPGDvplffc, 3.000, 13.000, "/m/032s66"
7JxYs1WcMkk, 0.000, 7.000, "/m/014zdl,/m/04rlf,/m/07pxg6y,/m/07qsvvw"
PVBalnFG8e0, 0.000, 10.000, "/m/014zdl,/m/02_41"
GAfn61x95po, 30.000, 40.000, "/m/014zdl,/m/07pxg6y,/m/07qsvvw,/m/07yv9,/m/09x0r,/m/0k5j"
2lEGN0fx9t4, 70.000, 80.000, "/m/034srq,/m/05kq4"
9GF8UgYi8us, 0.000, 10.000, "/m/034srq,/m/05kq4,/m/09x0r"
6a4qJx7ddUM, 30.000, 40.000, "/m/032s66"
KCejJufAOHQ, 60.000, 70.000, "/m/02_41,/m/09x0r"
-1Rs-GV7Mvg, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
NQXHOAy34Sw, 560.000, 570.000, "/m/032s66"
XqOFgS0jIag, 50.000, 60.000, "/m/012f08,/m/06mb1,/m/07yv9,/m/09x0r,/m/0k4j"
QBJOct9zi8w, 120.000, 130.000, "/m/032s66"
Ol-XhsCaC8I, 0.000, 10.000, "/m/019jd,/m/03m9d0z,/m/05kq4,/t/dd00092"
4TAAUSEm1iA, 300.000, 310.000, "/m/06mb1"
H7W5vjVP6uQ, 30.000, 40.000, "/m/014zdl"
4pP07Q3S528, 3.000, 13.000, "/m/014zdl"
Tu2YehJ8CAk, 11.000, 21.000, "/m/034srq,/m/05kq4,/m/09x0r"
KL96_LtcaIk, 80.000, 90.000, "/m/014zdl"
sesJOSAu41Y, 10.000, 20.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
NThuMi5y1gA, 30.000, 40.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
PTd_n0WoRyA, 11.000, 21.000, "/m/032s66,/m/0_1c"
zS4wrAbBFM4, 210.000, 220.000, "/m/06mb1,/m/0jb2l,/m/0ngt1"
0FjbEj6rmNg, 0.000, 10.000, "/m/06mb1,/m/0jb2l,/m/0ngt1"
sKdmY3NQl4I, 460.000, 470.000, "/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038"
-h1WbxpJRqg, 16.000, 26.000, "/m/014zdl,/m/09x0r"
D6wKeRfA5P4, 30.000, 40.000, "/m/06mb1,/t/dd00038"
lxh5TwoYqNs, 550.000, 560.000, "/m/06mb1,/m/0ngt1"
A49V8CgTc-I, 280.000, 290.000, "/m/032s66"
EWHg-RgMFOc, 0.000, 7.000, "/m/014zdl,/m/07qsvvw"
TNYfhCLCGSM, 10.000, 20.000, "/m/034srq,/m/05kq4"
E0d7qwfJFeY, 30.000, 40.000, "/m/0jb2l,/m/0ngt1"
Gd9DvY6qqs4, 130.000, 140.000, "/m/032s66"
RygN9WkoErY, 50.000, 60.000, "/m/06mb1,/m/09x0r,/t/dd00129"
603MnGjmD18, 500.000, 510.000, "/m/06mb1,/m/09x0r,/m/0jb2l"
4lwK3Ms-_DA, 30.000, 40.000, "/m/02_41,/t/dd00128"
9UNF8LAyCo4, 440.000, 450.000, "/m/06mb1,/m/0jb2l,/m/0ngt1"
EYly3MQK4Rc, 270.000, 280.000, "/m/03m9d0z,/t/dd00129"
AenrN5L1ltk, 10.000, 20.000, "/m/05kq4"
4CBKB7l-5Jc, 30.000, 40.000, "/m/06mb1"
HMFAe77dB78, 90.000, 100.000, "/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038"
1d_G012mY8g, 10.000, 20.000, "/m/034srq,/m/04rlf,/m/05kq4"
6Kd72D2vP_U, 1.000, 11.000, "/m/014zdl"
4mDdp0NXuzk, 90.000, 100.000, "/m/06mb1,/m/09x0r"
1opCyf7fyYo, 140.000, 150.000, "/m/03m9d0z"
GzZUUE5zJWU, 340.000, 350.000, "/m/032s66"
