# Segments csv adapted from original unbalanced_train_segments provided by audioset
# num_ytids=15975, num_segs=15970, num_unique_labels=7, num_positive_labels=Dunno
# YTID, start_seconds, end_seconds, positive_labels
-DBX_37OT2I, 260.000, 270.000, "/m/03m9d0z,/m/04rlf,/m/09t49,/m/09x0r"
-DBzymUQ6qc, 30.000, 40.000, "/m/019jd,/m/03m9d0z,/t/dd00092"
-DN0XLqlVSs, 30.000, 40.000, "/m/019jd,/m/03m9d0z,/m/056ks2,/t/dd00092"
-DPFuEk4AKc, 30.000, 40.000, "/m/014zdl"
-DXq8b_yfTQ, 240.000, 250.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
-E4MGocy8o4, 30.000, 40.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
-EBHuY7ynXk, 30.000, 40.000, "/m/06mb1"
-EQByFLFqig, 21.000, 31.000, "/m/06mb1,/m/0ngt1,/t/dd00038"
-Eg9oP45GgQ, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
-EjIWnnYgpc, 30.000, 40.000, "/m/06mb1,/m/07yv9"
-Es4a6NHq1k, 20.000, 30.000, "/m/03m9d0z,/m/07yv9,/m/0k4j"
-F8R3TfLito, 30.000, 40.000, "/m/019jd,/m/03m9d0z,/m/056ks2,/t/dd00092"
-FLbNcUhBsY, 60.000, 70.000, "/m/06mb1,/t/dd00038"
-FRz2m7Dg1I, 10.000, 20.000, "/m/06mb1"
-FXgPsF8hqk, 120.000, 130.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
-FZNvrfP-eY, 10.000, 20.000, "/m/012f08,/m/06mb1,/m/07yv9,/m/0k4j"
-Fk8xFRW79k, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
-GDkljH9Hsg, 11.000, 21.000, "/m/03m9d0z,/t/dd00092"
-GWsAdABhFQ, 6.000, 16.000, "/m/014zdl,/m/09x0r"
-Gdjbsouiqo, 10.000, 20.000, "/m/032s66"
-GlyNVaSgtU, 30.000, 40.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
-GnxeX-Gw_8, 190.000, 200.000, "/m/032s66,/m/04zjc"
-H9M6cZGd18, 110.000, 120.000, "/m/032s66"
-HMLX0lgQbM, 10.000, 20.000, "/m/06mb1,/m/07r10fb,/t/dd00038"
-Hj9DKBKzrY, 50.000, 60.000, "/m/03m9d0z"
-HmPEb_Ed3w, 30.000, 40.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
-HrJRswYxbA, 0.000, 10.000, "/m/014zdl,/m/09x0r"
-HtRQ4ewyd4, 210.000, 220.000, "/m/014zdl,/m/07yv9,/t/dd00128"
-I2UgD8y7lA, 230.000, 240.000, "/m/032s66,/m/06mb1,/m/0jb2l,/m/0ngt1"
-IgLXOL0DKw, 30.000, 40.000, "/m/034srq,/m/03m9d0z,/t/dd00092"
-IpGWTs7ckQ, 10.000, 20.000, "/m/06mb1,/m/0jb2l,/m/0ngt1"
-IqKCSPH-SE, 30.000, 40.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
-J2fAN0dXLU, 140.000, 150.000, "/m/032s66"
-J33gVrCxPM, 30.000, 40.000, "/m/06mb1,/m/0jb2l"
-JE4GYS63ak, 100.000, 110.000, "/m/02z32qm,/m/032s66,/m/09x0r"
-JaUsb1_IbI, 30.000, 40.000, "/m/06mb1,/m/07r10fb"
-JxYZ-EK3Aw, 10.000, 20.000, "/m/032s66,/m/04zjc"
-K68RAsOa_0, 30.000, 40.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
-KU3Ju1Um4I, 0.000, 10.000, "/m/06mb1,/m/0jb2l,/m/0ngt1"
-K_IvMoMLH0, 140.000, 150.000, "/m/019jd,/m/03m9d0z,/m/05kq4,/m/06q74,/t/dd00092"
-Ldxo4M2qBs, 50.000, 60.000, "/m/032s66"
-LjSlTMvYkk, 390.000, 400.000, "/m/014zdl,/m/09x0r,/m/0g6b5"
-LzsgrGPV6o, 30.000, 40.000, "/m/032s66,/m/04zjc"
-M0Sh9gBDEk, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
-M2-Yr7iaKI, 1.000, 11.000, "/m/014zdl,/m/07yv9,/t/dd00129"
-M4aFZoRCes, 0.000, 10.000, "/m/03m9d0z,/m/09x0r"
-M8LzbBMdzY, 30.000, 40.000, "/m/06mb1,/t/dd00038"
-MY6rcWY_S0, 130.000, 140.000, "/m/06mb1"
-M_6QcUffug, 30.000, 40.000, "/m/019jd,/m/02rlv9,/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
-MgXqQc7HiM, 28.000, 38.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
-MwrJ0g1DYI, 230.000, 240.000, "/m/019jd,/m/03m9d0z,/t/dd00092"
-N1hN9Bf_QY, 0.000, 10.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
-N3D0hlzvyQ, 160.000, 170.000, "/m/03m9d0z,/t/dd00092"
-N7JE-7-95g, 430.000, 440.000, "/m/06mb1,/m/07r10fb,/m/0jb2l"
-NCShvdIlTo, 70.000, 80.000, "/m/032s66"
-NYx9Vaxapc, 30.000, 40.000, "/m/032s66"
-NgfDMhDYE0, 10.000, 20.000, "/m/019jd,/m/034srq,/m/03m9d0z,/m/05kq4,/m/0hsrw,/t/dd00092"
-No9wfR6jsY, 30.000, 40.000, "/m/06mb1,/t/dd00038"
-NrFeH-kBSM, 0.000, 10.000, "/m/032s66"
-NromfAJyZs, 30.000, 40.000, "/m/032s66,/m/04zjc"
-OLmAqxvqC0, 160.000, 170.000, "/m/032s66,/m/04zjc"
-On56ZENnOU, 90.000, 100.000, "/m/03m9d0z,/m/07yv9,/m/0k4j"
-PJrbyYLtS4, 330.000, 340.000, "/m/03m9d0z,/m/09x0r"
-PoXQIZDs0c, 20.000, 30.000, "/m/032s66,/m/073cg4"
-QFc1-0QD68, 10.000, 20.000, "/m/06mb1"
-QH2EBJglx8, 60.000, 70.000, "/m/032s66,/m/04zjc"
-QMhidDu3qw, 60.000, 70.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
-QObwjZyddE, 30.000, 40.000, "/m/03m9d0z,/m/09x0r"
-QT0TQOvrWk, 280.000, 290.000, "/m/03k3r,/m/03m9d0z,/m/0jbk"
-Q_nVD3fkIs, 30.000, 40.000, "/m/014zdl"
-Qm9qNsV990, 140.000, 150.000, "/m/03m9d0z"
-Qr_nhvqV-k, 10.000, 20.000, "/m/032s66"
-R4-Af_murw, 10.000, 20.000, "/m/03m9d0z,/m/09x0r"
-RGMK0fq1-Q, 20.000, 30.000, "/m/06mb1,/m/07r10fb"
-RNPQI3AJMw, 310.000, 320.000, "/m/032s66"
-RqeUcVlLPo, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
-Rry0mqLHUA, 20.000, 30.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
-SOPwBujmkk, 50.000, 60.000, "/m/0ngt1"
-SS94jclogk, 170.000, 180.000, "/m/019jd,/m/03m9d0z,/m/056ks2,/t/dd00092"
-Sb_8qQEjmg, 120.000, 130.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
-SiU4qmvs1s, 330.000, 340.000, "/m/03m9d0z,/t/dd00092"
-TO838ZIrV4, 0.000, 10.000, "/m/06mb1,/m/0jb2l,/m/0ngt1"
-TTibxLuqQo, 32.000, 42.000, "/m/06mb1"
-TjxYU8lXv4, 16.000, 26.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
-TpoqQA-DRc, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
-U5wE-aUpxk, 0.000, 10.000, "/m/032s66"
-U_cnWB7l4A, 30.000, 40.000, "/m/06mb1,/m/07r10fb"
-Uan19lIw0M, 0.000, 7.000, "/m/014zdl,/m/09x0r"
-UcG6yArKqg, 360.000, 370.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
-Ummw6EIRZ0, 0.000, 10.000, "/m/03m9d0z,/t/dd00092"
-UqPsFYEk20, 50.000, 60.000, "/m/03m9d0z,/m/07yv9,/m/0cmf2,/m/0k5j"
-V6EWpcv3Gw, 80.000, 90.000, "/m/06mb1,/m/09t49"
-VExWGv9Kh8, 30.000, 40.000, "/m/014zdl,/m/04rlf,/m/07qsvvw,/m/09x0r"
-VR9yLnwdhY, 29.000, 39.000, "/m/034srq,/m/03m9d0z,/m/05kq4"
-WBs0sgFq90, 50.000, 60.000, "/m/03m9d0z,/m/09x0r"
-WOvmITEq44, 0.000, 3.000, "/m/014zdl"
-WWD9IcNd64, 11.000, 21.000, "/m/014zdl,/m/04rlf,/m/07qsvvw,/m/09x0r"
-Wl8Olvny3c, 90.000, 100.000, "/m/0jb2l,/m/0ngt1"
-Wpx02cD3J8, 460.000, 470.000, "/m/06mb1,/m/07yv9,/m/0k4j,/m/0ltv"
-WycrcrnNWY, 20.000, 30.000, "/m/03m9d0z"
-XBevNUqVE8, 30.000, 40.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
-XVOFBNSAms, 10.000, 20.000, "/m/04rlf,/m/06mb1,/m/07yv9"
-XgTqOlMbYU, 140.000, 150.000, "/m/032s66,/m/04zjc"
-XyPlsoO_eA, 13.000, 23.000, "/m/014zdl"
-YaJMgeKDxc, 70.000, 80.000, "/m/03m9d0z,/m/09t49"
-Yl6CTpfAFs, 3.000, 13.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
-Yq245_3S54, 30.000, 40.000, "/m/019jd,/m/03m9d0z,/m/056ks2"
-YsLUEbv8Bk, 30.000, 40.000, "/m/06mb1"
-ZIWZp6BFfs, 0.000, 10.000, "/m/014zdl"
-ZMAmXHkEOc, 30.000, 40.000, "/m/06mb1,/m/07r10fb,/t/dd00038"
-ZhpoluyJao, 1.000, 11.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
-Zpj-B_JSD8, 210.000, 220.000, "/m/032s66,/m/073cg4"
-_2oJZ-NhQg, 30.000, 40.000, "/m/0jb2l,/m/0ngt1"
-_3sfd0EONw, 260.000, 270.000, "/m/06mb1,/m/09x0r"
-_9OvEO2guU, 80.000, 90.000, "/m/0ngt1"
-_LLQQO4zU8, 30.000, 40.000, "/m/014zdl,/m/09x0r"
-_QuY4mwx5Y, 40.000, 50.000, "/m/032s66,/m/04zjc"
-_zabUkraYc, 160.000, 170.000, "/m/03m9d0z,/m/06mb1"
-a6v7VQjfII, 60.000, 70.000, "/m/06mb1,/t/dd00038"
-aCOkIlsMh0, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
-aN6_aAQUDQ, 30.000, 40.000, "/m/03m9d0z,/m/09x0r"
-aQDI85itmg, 30.000, 40.000, "/m/019jd,/m/034srq,/m/03m9d0z,/m/05kq4,/m/0hsrw,/t/dd00092"
-aaioeAeE84, 15.000, 25.000, "/m/032s66,/m/04zjc"
-bHiQJ1bbOQ, 30.000, 40.000, "/m/032s66,/m/0_1c"
-bX-ZihsRtQ, 13.000, 23.000, "/m/014zdl"
-bhtkQBD3yI, 280.000, 290.000, "/m/032s66"
-bmAP7ZvqdQ, 40.000, 50.000, "/m/06mb1,/m/07r10fb"
-brTVDJPWrg, 70.000, 80.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
-byeuxn5LEI, 0.000, 7.000, "/m/014zdl,/m/07yv9"
-c3E530ZhNE, 160.000, 170.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
-cLpSJwE8n4, 440.000, 450.000, "/m/032s66"
-cuf7p_lqGc, 30.000, 40.000, "/m/03m9d0z"
-dNN3A8-Lek, 30.000, 40.000, "/m/06mb1"
-dUbqP4vuKI, 0.000, 8.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
-dVzy4Go9Do, 30.000, 40.000, "/m/06mb1,/t/dd00038"
-dcZ6POUhPc, 190.000, 200.000, "/m/032s66"
-dvcjt3JcC4, 150.000, 160.000, "/m/06mb1"
-e4CdZmM9aQ, 30.000, 40.000, "/m/032s66"
-fCYj-cFQ5A, 30.000, 40.000, "/m/014zdl,/m/07pxg6y,/m/07qsvvw"
-fITuBtyXFk, 30.000, 40.000, "/m/032s66,/m/073cg4"
-fKtBOkknPI, 0.000, 10.000, "/m/06mb1"
-fP0AL3Nj0A, 10.000, 20.000, "/m/03m9d0z,/t/dd00092"
-fZyL5-yk1Q, 240.000, 250.000, "/m/019jd,/m/03m9d0z,/m/056ks2,/t/dd00092"
-flavb8WKBs, 90.000, 100.000, "/m/019jd,/m/03m9d0z,/m/056ks2,/t/dd00092"
-fqqe48M5Lc, 20.000, 30.000, "/m/06mb1"
-ftGz9flNC4, 30.000, 40.000, "/m/014zdl,/m/04rlf"
-g14NH5Ond4, 450.000, 460.000, "/m/03m9d0z,/t/dd00092"
-g3TklnBeGQ, 30.000, 40.000, "/m/03m9d0z,/m/07r04,/m/07yv9"
-gPM1IQBHkc, 0.000, 10.000, "/m/032s66"
-giS-_vGFck, 120.000, 130.000, "/m/032s66"
-gqf1zLbuJg, 30.000, 40.000, "/m/06mb1,/m/07r10fb,/t/dd00038"
-h1WbxpJRqg, 16.000, 26.000, "/m/014zdl,/m/09x0r"
-hMmAnEr7bE, 210.000, 220.000, "/m/03m9d0z,/t/dd00092"
-hcdEz54leA, 70.000, 80.000, "/m/032s66"
-hqszhtXBws, 110.000, 120.000, "/m/019jd,/m/03m9d0z,/m/06q74,/t/dd00092"
-i5utW_B_9w, 30.000, 40.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
-iAwKuP13jU, 30.000, 40.000, "/m/06mb1,/t/dd00038"
-iIv5t2qKL4, 30.000, 40.000, "/m/034srq,/m/03m9d0z,/m/05kq4"
-iLNkGemOS8, 30.000, 40.000, "/m/06mb1,/m/07r10fb"
-iSwmbSS9TA, 30.000, 40.000, "/m/014zdl,/m/07qsvvw"
-ifHfXYBLPE, 310.000, 320.000, "/m/03m9d0z"
-iplDFPRxVw, 210.000, 220.000, "/m/06mb1,/m/09x0r"
-j1q_NZkYJ8, 500.000, 510.000, "/m/02z32qm,/m/032s66"
-j8iIjE3ioU, 260.000, 270.000, "/m/032s66,/m/04zjc"
-jfgImes0Wc, 0.000, 10.000, "/m/06mb1,/t/dd00038"
-jsBFwHRuPo, 8.000, 18.000, "/m/014zdl"
-k1otuRNOfc, 30.000, 40.000, "/m/06mb1"
-k3gvGtVbtI, 170.000, 180.000, "/m/019jd,/m/03m9d0z,/m/056ks2,/t/dd00092"
-k8cz0rpqnU, 30.000, 40.000, "/m/06mb1"
-kq4SAP3Y-o, 30.000, 40.000, "/m/014zdl,/m/07qsvvw"
-kqYEgeadu8, 0.000, 10.000, "/m/014zdl,/m/09x0r"
-ks2n6wyKn0, 100.000, 110.000, "/m/032s66"
-lE61L_CfGk, 30.000, 40.000, "/m/019jd,/m/03m9d0z,/t/dd00092"
-m8FiTbRnQI, 7.000, 17.000, "/m/014zdl,/m/07qsvvw"
-mpaeFZz81E, 1.000, 11.000, "/m/014zdl,/m/09x0r"
-msC_WOqyFY, 3.000, 13.000, "/m/03m9d0z,/t/dd00092"
-musqdIrZMQ, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
-n3tv_VWXwY, 30.000, 40.000, "/m/06mb1,/m/0jb2l"
-nKy0zN4KVQ, 0.000, 9.000, "/m/014zdl,/m/07qsvvw"
-nU58LRK4mM, 30.000, 40.000, "/m/06mb1,/m/0ngt1"
-nZ1OczjdIg, 150.000, 160.000, "/m/03m9d0z,/m/09x0r"
-ni8s7HmLCY, 180.000, 190.000, "/m/032s66,/m/04zjc"
-njbxsKaclk, 0.000, 7.000, "/m/014zdl,/m/02dgv,/m/07qsvvw"
-njqm6R9Tko, 50.000, 60.000, "/m/032s66,/m/04zjc"
-nxhAiMipT0, 30.000, 40.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
-oLqxMGhq1k, 560.000, 570.000, "/m/06mb1,/m/0jb2l,/m/0ngt1"
-oxTGKGQN5s, 30.000, 40.000, "/m/032s66,/m/04zjc"
-pS1iVTSpmU, 30.000, 40.000, "/m/014zdl,/m/09x0r"
-pZNCCwKcak, 28.000, 38.000, "/m/06mb1,/t/dd00038"
-pe3220aP0A, 30.000, 40.000, "/m/032s66,/m/0_1c"
-q5KdVI7r-Y, 60.000, 70.000, "/m/032s66"
-q_lvVuO6o0, 70.000, 80.000, "/m/03m9d0z,/m/04rlf"
-qz61oFNVZs, 90.000, 100.000, "/m/03m9d0z"
-rPk13D4s70, 30.000, 40.000, "/m/032s66,/m/0_1c"
-rkT63HBpjE, 200.000, 210.000, "/m/019jd,/m/03m9d0z,/m/0hsrw,/t/dd00092"
-rnJiLdXiWw, 70.000, 80.000, "/m/06mb1"
-tGz_5sDpoY, 30.000, 40.000, "/m/06mb1,/t/dd00038"
-tPety65QXA, 140.000, 150.000, "/m/0jb2l,/m/0ngt1"
-tVj7U7AnZo, 18.000, 28.000, "/m/014zdl,/m/07pxg6y,/m/09x0r"
-tw5aRabPXI, 180.000, 190.000, "/m/032s66"
-u280mVOhOQ, 10.000, 20.000, "/m/032s66,/m/04zjc"
-u90KJp3FFM, 18.000, 28.000, "/m/014zdl,/m/04rlf,/m/09x0r"
-uCo7EJJL1c, 30.000, 40.000, "/m/02_41,/m/03m9d0z"
-uOln399Geg, 70.000, 80.000, "/m/03m9d0z,/t/dd00092"
-uPEL7tTB1c, 10.000, 20.000, "/m/03m9d0z"
-ulkILJNdHo, 30.000, 40.000, "/m/019jd,/m/03m9d0z,/m/056ks2"
-v_eFkQiviE, 60.000, 70.000, "/m/032s66"
-vca0cL0JCY, 50.000, 60.000, "/m/032s66,/m/04rlf,/m/09x0r"
-vng72w19Vs, 18.000, 28.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
-w0Jf5_Q_5c, 110.000, 120.000, "/m/03m9d0z,/t/dd00092"
-w3ye6WDomI, 590.000, 600.000, "/m/03m9d0z,/t/dd00129"
-wDvqJsmlyI, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
-wW0vFmhpm8, 80.000, 90.000, "/m/032s66,/m/073cg4"
-ws5L2Zjs2Q, 10.000, 20.000, "/m/03m9d0z,/t/dd00092"
-wv-pMA5r1w, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
-x5fDrtsR-M, 380.000, 390.000, "/m/03m9d0z,/t/dd00092"
-x9XedQDq1Q, 0.000, 9.000, "/m/03m9d0z,/t/dd00092"
-xcqqJJYDUY, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
-xfEpXw8iNA, 40.000, 50.000, "/m/03m9d0z,/t/dd00092"
-y4qGQyOqdw, 14.000, 24.000, "/m/034srq,/m/03m9d0z,/m/05kq4"
-yv4JUOevvA, 430.000, 440.000, "/m/03m9d0z,/t/dd00092"
-yz7GuEIuIo, 1.000, 11.000, "/m/014zdl"
-z7J3PfyT8o, 10.000, 20.000, "/m/032s66"
-zBwP1FRPi8, 24.000, 34.000, "/m/06mb1"
-zrldlTT_V8, 30.000, 40.000, "/m/019jd,/m/02rlv9,/m/034srq,/m/03m9d0z,/t/dd00092"
0-4IBRA02K8, 30.000, 40.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
0-6AL5yJbrc, 28.000, 38.000, "/m/032s66,/m/04zjc"
0-bn-Mo_4g0, 450.000, 460.000, "/m/06mb1,/m/0jb2l,/m/0ngt1"
0-dzQz58IfY, 20.000, 30.000, "/m/032s66"
0-jc_qX7QE8, 30.000, 40.000, "/m/014zdl,/m/04rlf,/m/07qsvvw"
0-lOXweji14, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
001Gw4vIiHo, 70.000, 80.000, "/m/03m9d0z,/t/dd00092"
00GZHSXnKhk, 20.000, 30.000, "/m/02z32qm,/m/032s66,/m/09x0r"
00ZeXwkse50, 8.000, 18.000, "/m/014zdl,/m/04rlf,/m/07qsvvw,/m/09x0r"
00ji2daVN2o, 27.000, 37.000, "/m/06mb1"
00odAB05tLg, 100.000, 110.000, "/m/03m9d0z"
00pu8ufecus, 310.000, 320.000, "/m/02_41,/m/03m9d0z"
01yceAJm8yM, 190.000, 200.000, "/m/019jd,/m/03m9d0z,/m/0hsrw,/t/dd00092"
024-V30vrR0, 0.000, 10.000, "/m/03m9d0z,/t/dd00092"
02MRwKtQ_cs, 0.000, 10.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
02fwHU_zu4k, 10.000, 20.000, "/m/06mb1,/m/0jb2l,/m/0ngt1"
02ikq8Cwnog, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
02vb_6uMJ54, 130.000, 140.000, "/m/03m9d0z,/m/09x0r"
03K8RizH2VU, 30.000, 40.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092"
03Qvfru13tA, 26.000, 36.000, "/m/06mb1,/m/0jb2l,/t/dd00038"
03_K0PKBRKw, 540.000, 550.000, "/m/02_41,/m/03m9d0z"
03e3YcJ4XRE, 3.000, 13.000, "/m/014zdl,/m/09x0r"
03vVQsJ44-Q, 10.000, 20.000, "/m/03m9d0z,/m/0j6m2,/t/dd00092"
03yAuTazipw, 30.000, 40.000, "/m/019jd,/m/03m9d0z,/t/dd00092"
040h3rz_OQ8, 90.000, 100.000, "/m/06mb1,/m/07yv9,/m/09x0r,/m/0k4j"
04AaBLJbGh8, 60.000, 70.000, "/m/03m9d0z,/m/07yv9"
04M1i0E0VLQ, 450.000, 460.000, "/m/032s66"
04YZM1KBIlE, 30.000, 40.000, "/m/06mb1"
04m_7jCGHko, 30.000, 40.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
04poyy2iKgg, 250.000, 260.000, "/m/03m9d0z"
050nJb7x1dA, 30.000, 40.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
